Feature,Importance,Importance_Pct
Preferred_Creative,0.09841419278078448,9.841419278078448
Preferred_Tech,0.08706546896508906,8.706546896508906
Preferred_Business,0.08403008762982801,8.403008762982802
Personality_Creative,0.07283775223842105,7.283775223842105
Personality_Social,0.07004150685598612,7.004150685598612
Personality_Analytical,0.0685129239515815,6.85129239515815
Degree,0.054119423864313544,5.411942386431354
Aptitude_Score,0.04911686944892038,4.911686944892038
GPA,0.04205708772132114,4.205708772132114
Social_GPA,0.03721210952344148,3.7212109523441477
Science_GPA,0.03672596401306752,3.672596401306752
Math_GPA,0.03485926704697154,3.4859267046971536
College_Credits,0.03464914734458371,3.464914734458371
English_GPA,0.033532310181014546,3.3532310181014546
Region,0.027544603352363424,2.7544603352363426
Age,0.024132264297477217,2.4132264297477217
Education_Level,0.020322678175031965,2.0322678175031963
Income_Category,0.019184458078432942,1.9184458078432942
Ethnicity,0.01687866896491774,1.6878668964917738
Category,0.016516481192496893,1.6516481192496892
Parent_Education,0.0147263887357124,1.4726388735712401
Skills_Coding,0.01320668363195026,1.320668363195026
Skills_Design,0.012307818022430483,1.2307818022430483
Gender,0.010339070057413281,1.0339070057413282
Skills_Analysis,0.008788520756073115,0.8788520756073115
Skills_Communication,0.006489165236570195,0.6489165236570195
Skills_Leadership,0.006389087933806102,0.6389087933806101
